statsDataId,title,updated_date,survey_date,matched_search_word,title_score,class_names,sample_json,status
0003182804,167 前期課程の都道府県別生徒数別学校数（設置者別）,2019-10-28,201601-201612,学校基本調査 都道府県 生徒数,4,表章項目 / 生徒数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003182804.json,ok
0003046816,100 前期課程の都道府県別生徒数別学校数（設置者別）,2019-10-28,200704-200803,学校基本調査 都道府県 生徒数,4,表章項目 / 生徒数別 / 設置者別-本校･分校別 / 時間軸（年次）,data/candidate_samples/0003046816.json,ok
0003017552,23 都道府県別児童数別学校数（学校別）（設置者別）,2011-03-22,0,学校基本調査 都道府県 児童数,4,人数別学校区分1 / 設置者別学校区分2 / 学校区分2,data/candidate_samples/0003017552.json,ok
0003020758,23 都道府県別児童数別学校数（学校別）（設置者別）,2011-03-22,0,学校基本調査 都道府県 児童数,4,人数別学校区分1 / 設置者別学校区分2 / 学校区分2,data/candidate_samples/0003020758.json,ok
0003017976,50 都道府県別生徒数別学校数（学校別）（設置者別）,2011-03-22,0,学校基本調査 都道府県 生徒数,4,学校区分2 / 人数別学校区分1 / 設置者別学校区分2,data/candidate_samples/0003017976.json,ok
0003020985,50 都道府県別生徒数別学校数（学校別）（設置者別）,2011-03-22,0,学校基本調査 都道府県 生徒数,4,学校区分2 / 人数別学校区分1 / 設置者別学校区分2,data/candidate_samples/0003020985.json,ok
0003018747,119 前期課程の都道府県別生徒数別学校数（学校別）（設置者別）,2011-03-22,0,学校基本調査 都道府県 生徒数,4,人数別学校区分1 / 設置者別学校区分2,data/candidate_samples/0003018747.json,ok
0003020885,119 前期課程の都道府県別生徒数別学校数（学校別）（設置者別）,2011-03-22,0,学校基本調査 都道府県 生徒数,4,人数別学校区分1 / 設置者別学校区分2,data/candidate_samples/0003020885.json,ok
0003035391,22 都道府県別児童数別学校数,2023-10-25,0,学校基本調査 都道府県 児童数,3,表章項目 / 人数別学校区分1 / 設置者別 / 本・分校区分 / 都道府県別,data/candidate_samples/0003035391.json,ok
0003017264,23 都道府県別児童数別学校数 計 国立・公立・私立,2023-10-25,0,学校基本調査 都道府県 生徒数,3,設置者別 / 児童・生徒数,data/candidate_samples/0003017264.json,ok
0003017268,50 都道府県別生徒数別学校数 計 国立・公立・私立,2023-10-25,0,学校基本調査 都道府県 生徒数,3,設置者別 / 児童・生徒数,data/candidate_samples/0003017268.json,ok
0003060198,90 都道府県別　生徒数（設置者別）,2023-10-25,200604-200703,学校基本調査 都道府県 生徒数,3,課程別-性別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003060198.json,ok
0003071432,都道府県別　生徒数（設置者別）,2023-10-25,0,学校基本調査 都道府県 生徒数,3,表章項目 / 課程別-性別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003071432.json,ok
0003104577,110 都道府県別　生徒数（設置者別）,2023-10-25,201401-201412,学校基本調査 都道府県 生徒数,3,表章項目 / 課程別-性別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003104577.json,ok
0003142571,128 都道府県別　生徒数（設置者別）,2023-10-25,201501-201512,学校基本調査 都道府県 生徒数,3,表章項目 / 課程別-性別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003142571.json,ok
0003181726,157 都道府県別　生徒数（設置者別）,2023-10-25,201601-201612,学校基本調査 都道府県 生徒数,3,表章項目 / 課程別-性別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003181726.json,ok
0003046817,100 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,200704-200803,学校基本調査 都道府県 生徒数,3,表章項目 / 設置者別 / 生徒数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003046817.json,ok
0003061465,100 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,200604-200703,学校基本調査 都道府県 生徒数,3,表章項目 / 設置者別 / 生徒数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003061465.json,ok
0003015662,56 都道府県別　学校数及び学生数 学校数,2023-10-25,0,学校基本調査 都道府県 学生数,3,設置者別 / 都道府県別a,data/candidate_samples/0003015662.json,ok
0003015720,56 都道府県別　学校数及び学生数 学生数,2023-10-25,0,学校基本調査 都道府県 学生数,3,性別 / 設置者別 / 学部・科別 / 都道府県別a,data/candidate_samples/0003015720.json,ok
0003011817,7 都道府県別　学校数及び学生数 学校数 都道府県別,2023-10-25,0,学校基本調査 都道府県 学生数,3,設置者別 / 都道府県別a,data/candidate_samples/0003011817.json,ok
0003011819,7 都道府県別　学校数及び学生数 学生数 都道府県別,2023-10-25,0,学校基本調査 都道府県 学生数,3,設置者別 / 性別 / 都道府県別a,data/candidate_samples/0003011819.json,ok
0003010737,9 都道府県別　大学院学生数 都道府県別,2023-10-25,0,学校基本調査 都道府県 学生数,3,性別 / 設置者別 / 都道府県別a,data/candidate_samples/0003010737.json,ok
0003066283,都道府県別　大学院学生数（都道府県別）,2023-10-25,0,学校基本調査 都道府県 学生数,3,表章項目 / 性別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003066283.json,ok
0003106004,9 都道府県別　大学院学生数（都道府県別）,2023-10-25,201401-201412,学校基本調査 都道府県 学生数,3,表章項目 / 性別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003106004.json,ok
0003143092,9 都道府県別　大学院学生数（都道府県別）,2023-10-25,201501-201512,学校基本調査 都道府県 学生数,3,表章項目 / 性別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003143092.json,ok
0003191563,9 都道府県別　大学院学生数（都道府県別）,2023-10-25,201601-201612,学校基本調査 都道府県 学生数,3,表章項目 / 性別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003191563.json,ok
0003013752,40 都道府県別　学校数及び学生数 学校数 都道府県別,2023-10-25,0,学校基本調査 都道府県 学生数,3,設置者別 / 都道府県別a,data/candidate_samples/0003013752.json,ok
0003013754,40 都道府県別　学校数及び学生数 学生数 都道府県別,2023-10-25,0,学校基本調査 都道府県 学生数,3,設置者別 / 性別 / 都道府県別a,data/candidate_samples/0003013754.json,ok
0003011818,7 都道府県別　学校数及び学生数 学校数 政令指定都市別,2023-10-25,0,学校基本調査 都道府県 学生数,3,設置者別 / 政令指定都市別1,data/candidate_samples/0003011818.json,ok
0003011820,7 都道府県別　学校数及び学生数 学生数 政令指定都市別,2023-10-25,0,学校基本調査 都道府県 学生数,3,設置者別 / 性別 / 政令指定都市別1,data/candidate_samples/0003011820.json,ok
0003010738,9 都道府県別　大学院学生数 政令指定都市別（再掲）,2023-10-25,0,学校基本調査 都道府県 学生数,3,性別 / 設置者別 / 政令指定都市別1,data/candidate_samples/0003010738.json,ok
0003013753,40 都道府県別　学校数及び学生数 学校数 再掲,2023-10-25,0,学校基本調査 都道府県 学生数,3,設置者別 / 政令指定都市別1,data/candidate_samples/0003013753.json,ok
0003013755,40 都道府県別　学校数及び学生数 学生数 再掲,2023-10-25,0,学校基本調査 都道府県 学生数,3,設置者別 / 性別 / 政令指定都市別1,data/candidate_samples/0003013755.json,ok
0003066284,都道府県別　大学院学生数（政令指定都市別）,2023-10-25,0,学校基本調査 都道府県 学生数,3,表章項目 / 性別 / 設置者別 / 政令指定都市別 / 時間軸（年次）,data/candidate_samples/0003066284.json,ok
0003100878,研究科別　最低在学年限超過学生数（設置者別）（専門職学位課程法科・教職大学院）（再掲）,2023-10-25,0,学校基本調査 都道府県 学生数,3,表章項目 / 課程別-修業年限別 / 性別 / 修業年限超過年数別 / 設置者別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003100878.json,ok
0003106045,9 都道府県別　大学院学生数（政令指定都市別）,2023-10-25,201401-201412,学校基本調査 都道府県 学生数,3,表章項目 / 性別 / 設置者別 / 政令指定都市別 / 時間軸（年次）,data/candidate_samples/0003106045.json,ok
0003143120,9 都道府県別　大学院学生数（政令指定都市別）,2023-10-25,201501-201512,学校基本調査 都道府県 学生数,3,表章項目 / 性別 / 設置者別 / 政令指定都市別 / 時間軸（年次）,data/candidate_samples/0003143120.json,ok
0003191643,9 都道府県別　大学院学生数（政令指定都市別）,2023-10-25,201601-201612,学校基本調査 都道府県 学生数,3,表章項目 / 性別 / 設置者別 / 政令指定都市別 / 時間軸（年次）,data/candidate_samples/0003191643.json,ok
0003065698,前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,0,学校基本調査 都道府県 生徒数,3,表章項目 / 設置者別 / 生徒数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003065698.json,ok
0003104790,120 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,201401-201412,学校基本調査 都道府県 生徒数,3,表章項目 / 設置者別 / 生徒数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003104790.json,ok
0003142615,138 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,201501-201512,学校基本調査 都道府県 生徒数,3,表章項目 / 設置者別 / 生徒数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003142615.json,ok
0003182805,167 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,201601-201612,学校基本調査 都道府県 生徒数,3,表章項目 / 設置者別 / 生徒数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003182805.json,ok
0003017840,119 前期課程の都道府県別生徒数別学校数 国立・公立・私立,2023-10-25,0,学校基本調査 都道府県 生徒数,3,設置者別 / 児童・生徒数,data/candidate_samples/0003017840.json,ok
0003046677,90 都道府県別　生徒数（設置者別）,2023-10-25,200704-200803,学校基本調査 都道府県 生徒数,3,課程別-性別 / 設置者別 / 時間軸（年次）,data/candidate_samples/0003046677.json,ok
0003209781,163 都道府県別　学科別　学年別　生徒数　（本科）　設置者別,2023-10-25,201601-201612,学校基本調査 都道府県 生徒数,3,表章項目 / 性別・学年別 / 学科別 / 設置者別-定時制・全日制別 / 設置者別 / 時間軸（年次）,data/candidate_samples/0003209781.json,ok
0003061512,4 都道府県別  児童数別  学校数（うち公立　都道府県別）,2019-10-28,200604-200703,学校基本調査 都道府県 児童数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003061512.json,ok
0003061543,4 都道府県別  児童数別  学校数（うち公立　都道府県別）,2019-10-28,200704-200803,学校基本調査 都道府県 児童数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003061543.json,ok
0003065479,都道府県別  児童数別  学校数（うち公立　都道府県別）,2019-10-28,0,学校基本調査 都道府県 児童数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003065479.json,ok
0003103436,24 都道府県別  児童数別  学校数（うち公立　都道府県別）,2019-10-28,201401-201412,学校基本調査 都道府県 児童数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003103436.json,ok
0003141556,42 都道府県別  児童数別  学校数（うち公立　都道府県別）,2019-10-28,201501-201512,学校基本調査 都道府県 児童数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003141556.json,ok
0003179823,45 都道府県別  児童数別  学校数（うち公立　都道府県別）,2019-10-28,201601-201612,学校基本調査 都道府県 児童数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003179823.json,ok
0003268528,45 都道府県別  児童数別  学校数（うち公立　都道府県別）,2019-10-28,201701-201712,学校基本調査 都道府県 児童数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003268528.json,ok
0003043986,22 都道府県別  児童数別  学校数,2019-10-28,0,学校基本調査 都道府県 児童数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003043986.json,ok
0003043067,22 都道府県別  児童数別  学校数,2019-10-28,201004-201103,学校基本調査 都道府県 児童数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003043067.json,ok
0003077748,22 都道府県別　児童数別　学校数,2019-10-28,0,学校基本調査 都道府県 児童数,3,表章項目 / 設置者別-本校･分校別 / 児童数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003077748.json,ok
0003096791,22 都道府県別　児童数別　学校数,2019-10-28,0,学校基本調査 都道府県 児童数,3,表章項目 / 設置者別-本校･分校別 / 児童数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003096791.json,ok
0003110448,22 都道府県別　児童数別　学校数,2019-10-28,201401-201412,学校基本調査 都道府県 児童数,3,表章項目 / 設置者別-本校･分校別 / 児童数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003110448.json,ok
0003144174,43 都道府県別　児童数別　学校数,2019-10-28,201501-201512,学校基本調査 都道府県 児童数,3,表章項目 / 設置者別-本校･分校別 / 児童数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003144174.json,ok
0003206305,43 都道府県別　児童数別　学校数,2019-10-28,201601-201612,学校基本調査 都道府県 児童数,3,表章項目 / 設置者別-本校･分校別 / 児童数別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003206305.json,ok
0003059827,31 都道府県別  生徒数別  学校数（うち公立　都道府県別）,2019-10-28,200604-200703,学校基本調査 都道府県 生徒数,3,表章項目 / 児童数別 / 設置者別-本校･分校別 / 都道府県別 / 時間軸（年次）,data/candidate_samples/0003059827.json,ok
